yvals,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,1573.5,1796.35,1812.6,1702.3,1816.4,1820.85,1856.55,1861.8,1809.6,1950.55,1813.5,1757.3
2,1712.45,1770.5,1775.35,1755.25,1811.6,1818.65,1885.05,1840.85,1834.15,1940.05,1787.2,1750.6
3,1795.25,1777.9,1789.8,1797.9,1785.75,1817.4,1874,1837.4,1858.7,1921.95,1794.7,1785.85
4,1834.35,1779.75,1800.7,1805.9,1776.2,1797.65,1882.35,1839.45,1856.65,1904.85,1811.6,1790.2
5,1824.35,1778,1800.9,1741.4,1757.5,1834.15,1837.1,1852.5,1875.15,1877.45,1821.95,1787.65
6,1817.3,1800.45,1818,1738.05,1765.1,1836.15,1822.05,1857.7,1843.6,1871.75,1831,1760.75
7,1790.85,1796.7,1808.45,1786.7,1791.7,1823.3,1847.05,1847.05,1844.35,1873.5,1837.45,1750.2
8,1783.35,1776.7,1779.4,1764.55,1829.25,1802.15,1854.8,1882.85,1863.95,1861.3,1827.2,1764.7
9,1785.3,1760.3,1766.95,1766.4,1829.65,1817.55,1858.7,1851.75,1877.75,1885.75,1811.5,1762.15
10,1780.3,1793.35,1769.6,1786.3,1826.5,1829.05,1887.75,1838.3,1873.1,1885.85,1798,1786.95
11,1779.95,1780.4,1782,1796.35,1796.65,1851.5,1875.65,1848.5,1888.7,1847.95,1826.5,1796.95
12,1783.65,1788.25,1782.5,1772.65,1804.9,1845.4,1859.05,1866.7,1894.9,1836.6,1853.95,1810.6
13,1747.6,1760.7,1782.45,1707.8,1783.45,1811.2,1813.95,1816.05,1855.15,1790.95,1829.8,1751.25
14,1778.05,1811.4,1796.8,1748.9,1833.85,1830.85,1863.55,1853.2,1879.75,1831.25,1834.3,1769
15,1754.7,1788.45,1772.9,1770.25,1839.7,1814.6,1861.55,1867.8,1890.3,1835.55,1822.3,1783.3
16,1786.7,1783.95,1756.65,1794.3,1825.7,1845.75,1873.5,1834.55,1898.4,1827.7,1782.4,1808.95
17,1787.55,1777.65,1771.5,1784.9,1822.95,1830.9,1889.9,1814.65,1920.8,1819.35,1795.35,1835.1
18,1776.9,1789.3,1765.5,1783.65,1811.15,1843.8,1892.65,1836.15,1943.2,1830.05,1805.8,1856.7
19,1777.55,1779.2,1787.9,1800.75,1813.2,1868.85,1860.25,1830.95,1945.85,1785,1819.75,1862.55
20,1783.1,1789.55,1795.2,1767.45,1806.4,1869.9,1828.85,1859.75,1922.3,1790.2,1819.1,1864
21,1756.6,1799,1777,1744.5,1831.45,1840.2,1856.65,1860.9,1912.95,1808.6,1814.85,1834.75
22,1767.85,1780.75,1770.7,1767.4,1854.7,1820.7,1854.45,1856.2,1931.8,1818.65,1778.95,1828.7
23,1797.6,1778.95,1746.9,1800.6,1859.75,1830.35,1890.15,1831.7,1948.65,1801.45,1765.75,1801
24,1767.55,1795.65,1772.7,1784,1837.95,1828.5,1888.35,1818.3,1958.3,1817.85,1766.6,1700.55
25,1771.55,1796.75,1755.65,1779.6,1784.9,1857.1,1885.1,1751.95,1965.15,1801.3,1757.45,1422.4
26,1765.6,1776.15,1776.25,1810.2,1766.25,1847.95,1862.6,1779.6,1973.5,1779.5,1790.8,1358.95
27,1765.3,1809.25,1794.65,1798.45,1803.15,1874.05,1848.3,1774,1957.2,1770.3,1772.3,1673.15
28,1770.1,1822.9,1779.95,1807.1,1818.15,1837.05,1857.65,1802.15,1924.8,1795.45,1785.95,1732.95
29,1775.15,1788.2,1748,1788.9,1787.7,1827.8,1858,1803.95,1934.2,1804.25,1771.05,1857.25
30,1778.05,null,1745.55,1811.35,1808.4,1853.4,1860.75,1782.65,1952.35,1803.95,1726.8,1876.95
31,1783,null,1767.95,null,1790.5,null,1867.25,1773.15,null,1803,null,1832.75
