Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
364,220,172,361,164,150,75,56,182,6,170,339
359,311,299,343,174,156,31,98,117,10,248,347
224,290,237,211,255,162,41,105,65,15,226,254
115,279,205,190,297,212,33,101,73,18,173,235
143,289,203,355,337,118,106,84,39,36,149,246
163,207,159,356,330,110,148,68,97,45,124,334
232,217,186,250,230,144,92,91,95,42,104,348
265,295,283,332,132,199,78,32,52,58,139,331
256,336,322,324,131,161,66,85,35,29,175,333
276,229,315,252,141,133,27,102,44,28,210,249
278,275,273,219,218,86,38,87,25,89,140,214
263,242,270,305,192,94,64,50,20,108,81,180
351,335,271,360,264,178,169,165,77,231,130,346
288,176,215,349,119,127,53,83,34,123,116,316
344,241,303,313,100,168,57,48,22,111,147,266
251,261,340,228,142,93,43,114,19,138,272,184
247,291,308,259,145,126,24,167,16,153,223,112
294,239,328,262,179,96,21,109,9,129,191,72
292,284,244,204,171,47,61,125,8,257,152,55
267,238,225,320,189,46,134,62,14,236,154,51
341,208,293,354,122,99,74,59,17,185,166,113
318,274,310,321,79,151,80,76,12,155,285,135
213,286,352,206,63,128,23,121,7,200,326,202
319,221,304,260,103,136,26,157,3,160,323,362
307,216,342,281,258,71,30,345,2,201,338,365
327,298,296,181,325,90,54,280,1,282,233,366
329,183,227,209,196,40,88,301,4,312,306,363
314,146,277,188,158,107,69,198,13,222,253,357
300,243,350,240,245,137,67,195,11,193,309,70
287,null,353,177,187,82,60,269,5,194,358,37
268,null,317,null,234,null,49,302,null,197,null,120
