date,value
Jan-47,19866
Feb-47,22347
Mar-47,33028
Apr-47,41602
May-47,27578
Jun-47,39966
Jul-47,36388
Aug-47,43277
Sep-47,39761
Oct-47,28283
Nov-47,27395
Dec-47,41719
Jan-48,22958
Feb-48,20630
Mar-48,51855
Apr-48,25729
May-48,26577
Jun-48,40516
Jul-48,46248
Aug-48,35343
Sep-48,41566
Oct-48,28248
Nov-48,20142
Dec-48,37079
Jan-49,21578
Feb-49,22298
Mar-49,37898
Apr-49,39245
May-49,16349
Jun-49,39971
Jul-49,42299
Aug-49,32990
Sep-49,39116
Oct-49,26795
Nov-49,17935
Dec-49,38567
Jan-50,15398
Feb-50,21642
Mar-50,49860
Apr-50,31408
May-50,18324
Jun-50,30994
Jul-50,37323
Aug-50,35140
Sep-50,42365
Oct-50,21700
Nov-50,16900
Dec-50,37436
Jan-51,14382
Feb-51,17894
Mar-51,77291
Apr-51,14258
May-51,17574
Jun-51,34550
Jul-51,33021
Aug-51,35320
Sep-51,42971
Oct-51,21110
Nov-51,15759
Dec-51,36494
Jan-52,13968
Feb-52,22829
Mar-52,69832
Apr-52,22291
May-52,17696
Jun-52,29502
Jul-52,31298
Aug-52,37588
Sep-52,34525
Oct-52,20431
Nov-52,18153
Dec-52,31195
Jan-53,15900
Feb-53,20870
Mar-53,56840
Apr-53,30228
May-53,18822
Jun-53,28073
Jul-53,32841
Aug-53,38255
Sep-53,34518
Oct-53,23155
Nov-53,15475
Dec-53,30021
Jan-54,16282
Feb-54,21989
Mar-54,57651
Apr-54,28907
May-54,14519
Jun-54,30938
Jul-54,38349
Aug-54,30360
Sep-54,35796
Oct-54,23313
Nov-54,15691
Dec-54,27936
Jan-55,17262
Feb-55,22902
Mar-55,60532
Apr-55,31567
May-55,16474
Jun-55,26722
Jul-55,38207
Aug-55,30981
Sep-55,37503
Oct-55,26100
Nov-55,16394
Dec-55,33274
Jan-56,13651
Feb-56,19898
Mar-56,73573
Apr-56,21113
May-56,15529
Jun-56,32179
Jul-56,30144
Aug-56,34503
Sep-56,42276
Oct-56,21158
Nov-56,15947
Dec-56,32973
Jan-57,13894
Feb-57,19954
Mar-57,76244
Apr-57,19034
May-57,12150
Jun-57,34620
Jul-57,28458
Aug-57,38192
Sep-57,36967
Oct-57,21817
Nov-57,18199
Dec-57,27374
Jan-58,12940
Feb-58,20777
Mar-58,68912
Apr-58,21229
May-58,17434
Jun-58,27548
Jul-58,27900
Aug-58,37115
Sep-58,36683
Oct-58,24005
Nov-58,19048
Dec-58,26322
Jan-59,15430
Feb-59,18972
Mar-59,67028
Apr-59,20121
May-59,17142
Jun-59,26018
Jul-59,27390
Aug-59,35601
Sep-59,39600
Oct-59,32649
Nov-59,15548
Dec-59,24627
Jan-60,15596
Feb-60,21163
Mar-60,52185
Apr-60,30016
May-60,13447
Jun-60,29432
Jul-60,33131
Aug-60,29414
Sep-60,41035
Oct-60,36503
Nov-60,15461
Dec-60,26231
Jan-61,12310
Feb-61,18020
Mar-61,54118
Apr-61,32733
May-61,16623
Jun-61,26813
Jul-61,31282
Aug-61,30822
Sep-61,50263
Oct-61,31897
Nov-61,15899
Dec-61,25898
Jan-62,12345
Feb-62,18568
Mar-62,70012
Apr-62,16540
May-62,13722
Jun-62,32810
Jul-62,26148
Aug-62,29722
Sep-62,51807
Oct-62,34999
Nov-62,15761
Dec-62,25298
Jan-63,12113
Feb-63,19687
Mar-63,65509
Apr-63,16604
May-63,13943
Jun-63,33017
Jul-63,26775
Aug-63,36874
Sep-63,47336
Oct-63,38125
Nov-63,19293
Dec-63,22053
Jan-64,12478
Feb-64,20970
Mar-64,64266
Apr-64,22671
May-64,18841
Jun-64,26985
Jul-64,27448
Aug-64,35388
Sep-64,48322
Oct-64,44573
Nov-64,16689
Dec-64,20676
Jan-65,15945
Feb-65,22461
Mar-65,60136
Apr-65,27312
May-65,17470
Jun-65,28739
Jul-65,32285
Aug-65,31069
Sep-65,50351
Oct-65,47572
Nov-65,17166
Dec-65,20621
Jan-66,17012
Feb-66,22253
Mar-66,62620
Apr-66,30535
May-66,16880
Jun-66,26689
Jul-66,32876
Aug-66,31591
Sep-66,50561
Oct-66,52785
Nov-66,16986
Dec-66,23709
Jan-67,14392
